,title,max,mean,median,min
0,Alexa Jeans slim ,242.0,155.20000000000002,176.0,0.0
12,Rizetta Jacket blazer,339.42857142857144,100.63690476190476,0.0,0.0
5,Femme Sweater mohair ,528.0,255.97916666666666,253.0,0.0
15,Toxiko Jeans colors ,530.2,390.8666666666667,396.0,242.0
1,Amara Sweater v-neck ,616.0,228.96296296296293,69.66666666666667,58.66666666666666
3,Danta Pant crops ,631.7142857142857,379.1333333333333,336.2857142857143,172.85714285714286
7,Lena Jacket colors ,726.0,627.7333333333333,664.4,510.4
19,Viril Cardigan noos,897.4,484.27500000000003,535.65,0.0
16,Vilucy Shirt noos ,1429.4,597.7944444444445,331.1,0.0
10,Mina Top klein ,1454.8461538461538,945.7993006993006,802.8333333333334,695.0
6,Itta Pant denim ,1610.75,750.1436507936507,594.9,4.4
17,Vilucy Tshirt fav ,1697.8,970.188888888889,1196.2,167.2
18,Viril Cardigan knit ,2027.6,748.3578431372548,774.1,180.4
13,Sarah Pant short ,2287.0,1040.6666666666665,907.25,491.3333333333333
11,Rebecca Jeans denim ,2304.8,946.7238095238096,657.7666666666667,420.2
8,Lina Cardigan longer,2661.0,1662.7777777777778,1979.0,396.0
2,Cooler Pant ycoo ,2910.0,1282.9333333333332,1081.3333333333335,0.0
9,Loret Sweater brille ,4134.0,1810.611111111111,1781.5,0.0
14,Senes Sweater rainbow ,6399.0,3254.6428571428573,3342.5,220.0
4,Dou Jeans onesize ,15746.0,8279.722222222223,7851.0,616.0
